中国联通-天津-酒店,#genre#
佳嘉卡通,http://61.138.128.226:19901/tsfile/live/1019_1.m3u8
三沙卫视,http://61.138.128.226:19901/tsfile/live/1020_1.m3u8
中国教育电视台,http://61.138.128.226:19901/tsfile/live/1021_1.m3u8
浙江卫视,http://61.138.128.226:19901/tsfile/live/1044_1.m3u8
中国联通-江西-酒店,#genre#
CCTV1,http://113.195.4.227:9901/tsfile/live/0001_1.m3u8
CCTV2,http://113.195.4.227:9901/tsfile/live/1058_1.m3u8
CCTV3,http://113.195.4.227:9901/tsfile/live/0003_1.m3u8
CCTV4,http://113.195.4.227:9901/tsfile/live/0004_1.m3u8
CCTV5,http://113.195.4.227:9901/tsfile/live/0005_1.m3u8
CCTV6,http://113.195.4.227:9901/tsfile/live/0006_1.m3u8
CCTV7,http://113.195.4.227:9901/tsfile/live/0007_1.m3u8
CCTV8,http://113.195.4.227:9901/tsfile/live/0008_1.m3u8
CCTV9,http://113.195.4.227:9901/tsfile/live/0009_1.m3u8
CCTV10,http://113.195.4.227:9901/tsfile/live/1057_1.m3u8
CCTV11,http://113.195.4.227:9901/tsfile/live/1059_1.m3u8
CCTV12,http://113.195.4.227:9901/tsfile/live/1060_1.m3u8
CCTV13,http://113.195.4.227:9901/tsfile/live/1061_1.m3u8
CCTV14,http://113.195.4.227:9901/tsfile/live/1062_1.m3u8
CCTV15,http://113.195.4.227:9901/tsfile/live/1063_1.m3u8
CCTV16,http://113.195.4.227:9901/tsfile/live/1089_1.m3u8
CCTV17,http://113.195.4.227:9901/tsfile/live/0019_1.m3u8
江西卫视,http://113.195.4.227:9901/tsfile/live/0138_1.m3u8
江西2台,http://113.195.4.227:9901/tsfile/live/1064_1.m3u8
江西3台,http://113.195.4.227:9901/tsfile/live/1065_1.m3u8
江西4台,http://113.195.4.227:9901/tsfile/live/1066_1.m3u8
江西5台,http://113.195.4.227:9901/tsfile/live/1067_1.m3u8
江西6台,http://113.195.4.227:9901/tsfile/live/1068_1.m3u8
江西7台,http://113.195.4.227:9901/tsfile/live/1069_1.m3u8
江西8台,http://113.195.4.227:9901/tsfile/live/1070_1.m3u8
中国教育1台,http://113.195.4.227:9901/tsfile/live/1035_1.m3u8
中国教育4台,http://113.195.4.227:9901/tsfile/live/1036_1.m3u8
哈哈炫动,http://113.195.4.227:9901/tsfile/live/1009_1.m3u8
金鹰卡通,http://113.195.4.227:9901/tsfile/live/1008_1.m3u8
新动漫,http://113.195.4.227:9901/tsfile/live/1051_1.m3u8
湖南卫视,http://113.195.4.227:9901/tsfile/live/1000_1.m3u8
浙江卫视,http://113.195.4.227:9901/tsfile/live/1001_1.m3u8
江苏卫视,http://113.195.4.227:9901/tsfile/live/1002_1.m3u8
上海卫视,http://113.195.4.227:9901/tsfile/live/1003_1.m3u8
北京卫视,http://113.195.4.227:9901/tsfile/live/1004_1.m3u8
安徽卫视,http://113.195.4.227:9901/tsfile/live/1005_1.m3u8
山东卫视,http://113.195.4.227:9901/tsfile/live/1006_1.m3u8
深圳卫视,http://113.195.4.227:9901/tsfile/live/1007_1.m3u8
广东卫视,http://113.195.4.227:9901/tsfile/live/1010_1.m3u8
湖北卫视,http://113.195.4.227:9901/tsfile/live/1011_1.m3u8
天津卫视,http://113.195.4.227:9901/tsfile/live/1012_1.m3u8
海南卫视,http://113.195.4.227:9901/tsfile/live/1013_1.m3u8
辽宁卫视,http://113.195.4.227:9901/tsfile/live/1014_1.m3u8
吉林卫视,http://113.195.4.227:9901/tsfile/live/1015_1.m3u8
四川卫视,http://113.195.4.227:9901/tsfile/live/1016_1.m3u8
山西卫视,http://113.195.4.227:9901/tsfile/live/1017_1.m3u8
东南卫视,http://113.195.4.227:9901/tsfile/live/1018_1.m3u8
河南卫视,http://113.195.4.227:9901/tsfile/live/1019_1.m3u8
广西卫视,http://113.195.4.227:9901/tsfile/live/1056_1.m3u8
河北卫视,http://113.195.4.227:9901/tsfile/live/1021_1.m3u8
黑龙江卫视,http://113.195.4.227:9901/tsfile/live/1022_1.m3u8
青海卫视,http://113.195.4.227:9901/tsfile/live/1023_1.m3u8
云南卫视,http://113.195.4.227:9901/tsfile/live/1024_1.m3u8
陕西卫视,http://113.195.4.227:9901/tsfile/live/1025_1.m3u8
甘肃卫视,http://113.195.4.227:9901/tsfile/live/1026_1.m3u8
宁夏卫视,http://113.195.4.227:9901/tsfile/live/1027_1.m3u8
内蒙古卫视,http://113.195.4.227:9901/tsfile/live/1029_1.m3u8
西藏卫视,http://113.195.4.227:9901/tsfile/live/1030_1.m3u8
贵州卫视,http://113.195.4.227:9901/tsfile/live/1031_1.m3u8
兵团卫视,http://113.195.4.227:9901/tsfile/live/1032_1.m3u8
风云剧场,http://113.195.4.227:9901/tsfile/live/1037_1.m3u8
第一剧场,http://113.195.4.227:9901/tsfile/live/1028_1.m3u8
CHC影院,http://113.195.4.227:9901/tsfile/live/1046_1.m3u8
CHC电影,http://113.195.4.227:9901/tsfile/live/1047_1.m3u8
CHC,http://113.195.4.227:9901/tsfile/live/1039_1.m3u8
先锋乒羽,http://113.195.4.227:9901/tsfile/live/1071_1.m3u8
风云足球,http://113.195.4.227:9901/tsfile/live/1049_1.m3u8
快乐垂钓,http://113.195.4.227:9901/tsfile/live/1042_1.m3u8
江西教育,http://113.195.4.227:9901/tsfile/live/1092_1.m3u8
女性时尚,http://113.195.4.227:9901/tsfile/live/1054_1.m3u8
地理世界,http://113.195.4.227:9901/tsfile/live/1053_1.m3u8
测试9,http://113.195.4.227:9901/tsfile/live/1076_1.m3u8
中国教育2,http://113.195.4.227:9901/tsfile/live/1033_1.m3u8
山东教育卫视,http://113.195.4.227:9901/tsfile/live/1080_1.m3u8
厦门卫视,http://113.195.4.227:9901/tsfile/live/0129_1.m3u8
三沙卫视,http://113.195.4.227:9901/tsfile/live/1078_1.m3u8
卡酷酷通,http://113.195.4.227:9901/tsfile/live/1079_1.m3u8
东方财经,http://113.195.4.227:9901/tsfile/live/1081_1.m3u8
动漫秀场,http://113.195.4.227:9901/tsfile/live/1082_1.m3u8
中国天气,http://113.195.4.227:9901/tsfile/live/1083_1.m3u8
欢笑剧场,http://113.195.4.227:9901/tsfile/live/1084_1.m3u8
风云剧场,http://113.195.4.227:9901/tsfile/live/1085_1.m3u8
梨园,http://113.195.4.227:9901/tsfile/live/1088_1.m3u8
中国联通-云南-酒店,#genre#
CCTV1,http://14.204.46.220:9901/tsfile/live/0001_1.m3u8
CCTV2,http://14.204.46.220:9901/tsfile/live/0002_1.m3u8
CCTV3,http://14.204.46.220:9901/tsfile/live/0003_1.m3u8
CCTV4,http://14.204.46.220:9901/tsfile/live/0004_1.m3u8
CCTV5,http://14.204.46.220:9901/tsfile/live/0005_1.m3u8
CCTV6,http://14.204.46.220:9901/tsfile/live/0006_1.m3u8
CCTV7,http://14.204.46.220:9901/tsfile/live/0007_1.m3u8
CCTV8,http://14.204.46.220:9901/tsfile/live/0008_1.m3u8
CCTV9,http://14.204.46.220:9901/tsfile/live/0009_1.m3u8
CCTV10,http://14.204.46.220:9901/tsfile/live/0010_1.m3u8
CCTV11,http://14.204.46.220:9901/tsfile/live/0011_1.m3u8
CCTV12,http://14.204.46.220:9901/tsfile/live/0012_1.m3u8
CCTV13,http://14.204.46.220:9901/tsfile/live/0013_1.m3u8
CCTV14,http://14.204.46.220:9901/tsfile/live/0014_1.m3u8
CCTV15,http://14.204.46.220:9901/tsfile/live/0015_1.m3u8
公共,http://14.204.46.220:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://14.204.46.220:9901/tsfile/live/0127_2.m3u8
江苏卫视,http://14.204.46.220:9901/tsfile/live/0127_1.m3u8
湖南卫视,http://14.204.46.220:9901/tsfile/live/0122_2.m3u8
上海卫视,http://14.204.46.220:9901/tsfile/live/0130_1.m3u8
北京卫视,http://14.204.46.220:9901/tsfile/live/0122_1.m3u8
天津卫视,http://14.204.46.220:9901/tsfile/live/0135_1.m3u8
安徽卫视,http://14.204.46.220:9901/tsfile/live/0135_2.m3u8
深圳卫视,http://14.204.46.220:9901/tsfile/live/0138_1.m3u8
重庆卫视,http://14.204.46.220:9901/tsfile/live/0126_1.m3u8
山东卫视,http://14.204.46.220:9901/tsfile/live/0142_1.m3u8
辽宁卫视,http://14.204.46.220:9901/tsfile/live/0121_1.m3u8
湖北卫视,http://14.204.46.220:9901/tsfile/live/0143_1.m3u8
四川卫视,http://14.204.46.220:9901/tsfile/live/0132_1.m3u8
黑龙江卫视,http://14.204.46.220:9901/tsfile/live/0123_1.m3u8
东南卫视,http://14.204.46.220:9901/tsfile/live/0139_1.m3u8
贵州卫视,http://14.204.46.220:9901/tsfile/live/0138_2.m3u8
广东卫视,http://14.204.46.220:9901/tsfile/live/0120_1.m3u8
河南卫视,http://14.204.46.220:9901/tsfile/live/0125_1.m3u8
吉林卫视,http://14.204.46.220:9901/tsfile/live/0139_2.m3u8
山西卫视,http://14.204.46.220:9901/tsfile/live/0116_1.m3u8
河北卫视,http://14.204.46.220:9901/tsfile/live/0118_1.m3u8
广西卫视,http://14.204.46.220:9901/tsfile/live/0136_1.m3u8
甘肃卫视,http://14.204.46.220:9901/tsfile/live/0109_1.m3u8
青海卫视,http://14.204.46.220:9901/tsfile/live/0140_1.m3u8
内蒙古卫视,http://14.204.46.220:9901/tsfile/live/0141_1.m3u8
海南卫视,http://14.204.46.220:9901/tsfile/live/0112_1.m3u8
厦门卫视,http://14.204.46.220:9901/tsfile/live/0109_2.m3u8
金鹰卡通,http://14.204.46.220:9901/tsfile/live/1003_1.m3u8
优漫卡通,http://14.204.46.220:9901/tsfile/live/0115_1.m3u8
佳嘉卡通,http://14.204.46.220:9901/tsfile/live/1005_1.m3u8
哈哈炫动,http://14.204.46.220:9901/tsfile/live/1007_1.m3u8
北京卡通,http://14.204.46.220:9901/tsfile/live/1008_1.m3u8
中国联通-湖北-酒店,#genre#
CCTV1,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8
CCTV2,http://58.19.43.46:9901/tsfile/live/1021_1.m3u8
CCTV3,http://58.19.43.46:9901/tsfile/live/1022_1.m3u8
CCTV4,http://58.19.43.46:9901/tsfile/live/1023_1.m3u8
CCTV5,http://58.19.43.46:9901/tsfile/live/1024_1.m3u8
CCTV6,http://58.19.43.46:9901/tsfile/live/1025_1.m3u8
CCTV7,http://58.19.43.46:9901/tsfile/live/1026_1.m3u8
CCTV8,http://58.19.43.46:9901/tsfile/live/1027_1.m3u8
CCTV9,http://58.19.43.46:9901/tsfile/live/1028_1.m3u8
CCTV10,http://58.19.43.46:9901/tsfile/live/1029_1.m3u8
CCTV11,http://58.19.43.46:9901/tsfile/live/1030_1.m3u8
CCTV12,http://58.19.43.46:9901/tsfile/live/1031_1.m3u8
CCTV13,http://58.19.43.46:9901/tsfile/live/1032_1.m3u8
CCTV14,http://58.19.43.46:9901/tsfile/live/1033_1.m3u8
CCTV15,http://58.19.43.46:9901/tsfile/live/1034_1.m3u8
CCTV17,http://58.19.43.46:9901/tsfile/live/1047_1.m3u8
CCTVNEWS,http://58.19.43.46:9901/tsfile/live/1002_1.m3u8
浙江卫视,http://58.19.43.46:9901/tsfile/live/1037_1.m3u8
江苏卫视,http://58.19.43.46:9901/tsfile/live/1038_1.m3u8
上海卫视,http://58.19.43.46:9901/tsfile/live/1035_1.m3u8
广东卫视,http://58.19.43.46:9901/tsfile/live/1039_1.m3u8
湖南卫视,http://58.19.43.46:9901/tsfile/live/1036_1.m3u8
中国教育,http://58.19.43.46:9901/tsfile/live/1018_1.m3u8
安徽卫视,http://58.19.43.46:9901/tsfile/live/1040_1.m3u8
辽宁卫视,http://58.19.43.46:9901/tsfile/live/1041_1.m3u8
重庆卫视,http://58.19.43.46:9901/tsfile/live/1042_1.m3u8
四川卫视,http://58.19.43.46:9901/tsfile/live/1043_1.m3u8
湖北卫视,http://58.19.43.46:9901/tsfile/live/1044_1.m3u8
江西卫视,http://58.19.43.46:9901/tsfile/live/1045_1.m3u8
东南卫视,http://58.19.43.46:9901/tsfile/live/1046_1.m3u8
金鹰卡通,http://58.19.43.46:9901/tsfile/live/1000_1.m3u8
BTV卡通,http://58.19.43.46:9901/tsfile/live/1001_1.m3u8
宁夏卫视,http://58.19.43.46:9901/tsfile/live/1003_1.m3u8
广西卫视,http://58.19.43.46:9901/tsfile/live/1004_1.m3u8
旅游卫视,http://58.19.43.46:9901/tsfile/live/1005_1.m3u8
河南卫视,http://58.19.43.46:9901/tsfile/live/1006_1.m3u8
吉林卫视,http://58.19.43.46:9901/tsfile/live/1007_1.m3u8
黑龙江卫视,http://58.19.43.46:9901/tsfile/live/1008_1.m3u8
山西卫视,http://58.19.43.46:9901/tsfile/live/1009_1.m3u8
云南卫视,http://58.19.43.46:9901/tsfile/live/1010_1.m3u8
贵州卫视,http://58.19.43.46:9901/tsfile/live/1011_1.m3u8
经典电影,http://58.19.43.46:9901/tsfile/live/1012_1.m3u8
陕西卫视,http://58.19.43.46:9901/tsfile/live/1013_1.m3u8
青海卫视,http://58.19.43.46:9901/tsfile/live/1014_1.m3u8
湖北垄上,http://58.19.43.46:9901/tsfile/live/1015_1.m3u8
湖北影视,http://58.19.43.46:9901/tsfile/live/1016_1.m3u8
湖北经视,http://58.19.43.46:9901/tsfile/live/1017_1.m3u8
足球,http://58.19.43.46:9901/tsfile/live/1019_1.m3u8
中国联通-浙江-酒店,#genre#
CCTV1,http://101.66.195.109:9901/tsfile/live/0001_1.m3u8
CCTV2,http://101.66.195.109:9901/tsfile/live/0002_1.m3u8
CCTV3,http://101.66.195.109:9901/tsfile/live/0003_1.m3u8
CCTV4,http://101.66.195.109:9901/tsfile/live/0004_1.m3u8
CCTV5,http://101.66.195.109:9901/tsfile/live/0005_1.m3u8
CCTV6,http://101.66.195.109:9901/tsfile/live/0006_1.m3u8
CCTV7,http://101.66.195.109:9901/tsfile/live/0007_1.m3u8
CCTV8,http://101.66.195.109:9901/tsfile/live/0008_1.m3u8
CCTV9,http://101.66.195.109:9901/tsfile/live/0009_1.m3u8
CCTV10,http://101.66.195.109:9901/tsfile/live/0010_1.m3u8
CCTV11,http://101.66.195.109:9901/tsfile/live/0011_1.m3u8
CCTV12,http://101.66.195.109:9901/tsfile/live/0012_1.m3u8
CCTV13,http://101.66.195.109:9901/tsfile/live/0013_1.m3u8
CCTV14,http://101.66.195.109:9901/tsfile/live/0014_1.m3u8
CCTV15,http://101.66.195.109:9901/tsfile/live/0015_1.m3u8
北京卫视,http://101.66.195.109:9901/tsfile/live/0016_1.m3u8
江苏卫视,http://101.66.195.109:9901/tsfile/live/0017_1.m3u8
上海卫视,http://101.66.195.109:9901/tsfile/live/0018_1.m3u8
湖南卫视,http://101.66.195.109:9901/tsfile/live/0019_1.m3u8
安徽卫视,http://101.66.195.109:9901/tsfile/live/0130_1.m3u8
重庆卫视,http://101.66.195.109:9901/tsfile/live/0142_1.m3u8
广东卫视,http://101.66.195.109:9901/tsfile/live/0125_1.m3u8
四川卫视,http://101.66.195.109:9901/tsfile/live/0123_1.m3u8
江西卫视,http://101.66.195.109:9901/tsfile/live/0138_1.m3u8
贵州卫视,http://101.66.195.109:9901/tsfile/live/0120_1.m3u8
辽宁卫视,http://101.66.195.109:9901/tsfile/live/0121_1.m3u8
黑龙江卫视,http://101.66.195.109:9901/tsfile/live/0143_1.m3u8
浙江卫视,http://101.66.195.109:9901/tsfile/live/0124_1.m3u8
中国联通-四川-酒店,#genre#
CCTV1,http://175.155.98.11:9901/tsfile/live/1000_1.m3u8
CCTV2,http://175.155.98.11:9901/tsfile/live/1002_1.m3u8
CCTV3,http://175.155.98.11:9901/tsfile/live/1003_1.m3u8
CCTV4,http://175.155.98.11:9901/tsfile/live/1004_1.m3u8
CCTV5,http://175.155.98.11:9901/tsfile/live/1006_1.m3u8
CCTV6,http://175.155.98.11:9901/tsfile/live/1007_1.m3u8
CCTV7,http://175.155.98.11:9901/tsfile/live/1008_1.m3u8
CCTV8,http://175.155.98.11:9901/tsfile/live/1009_1.m3u8
CCTV9,http://175.155.98.11:9901/tsfile/live/1011_1.m3u8
CCTV10,http://175.155.98.11:9901/tsfile/live/1012_1.m3u8
CCTV11,http://175.155.98.11:9901/tsfile/live/1013_1.m3u8
CCTV12,http://175.155.98.11:9901/tsfile/live/1014_1.m3u8
CCTV13,http://175.155.98.11:9901/tsfile/live/1015_1.m3u8
CCTV14,http://175.155.98.11:9901/tsfile/live/1016_1.m3u8
CCTV15,http://175.155.98.11:9901/tsfile/live/1017_1.m3u8
CCTV5+,http://175.155.98.11:9901/tsfile/live/1028_1.m3u8
四川卫视,http://175.155.98.11:9901/tsfile/live/1018_1.m3u8
北京卫视,http://175.155.98.11:9901/tsfile/live/1019_1.m3u8
天津卫视,http://175.155.98.11:9901/tsfile/live/1020_1.m3u8
山东卫视,http://175.155.98.11:9901/tsfile/live/1021_1.m3u8
江苏卫视,http://175.155.98.11:9901/tsfile/live/1022_1.m3u8
浙江卫视,http://175.155.98.11:9901/tsfile/live/1023_1.m3u8
上海卫视,http://175.155.98.11:9901/tsfile/live/1024_1.m3u8
安徽卫视,http://175.155.98.11:9901/tsfile/live/1025_1.m3u8
湖北卫视,http://175.155.98.11:9901/tsfile/live/1026_1.m3u8
湖南卫视,http://175.155.98.11:9901/tsfile/live/1027_1.m3u8
广东卫视,http://175.155.98.11:9901/tsfile/live/1029_1.m3u8
深圳卫视,http://175.155.98.11:9901/tsfile/live/1030_1.m3u8
黑龙江卫视,http://175.155.98.11:9901/tsfile/live/1031_1.m3u8
辽宁卫视,http://175.155.98.11:9901/tsfile/live/1032_1.m3u8
河南卫视,http://175.155.98.11:9901/tsfile/live/1033_1.m3u8
江西卫视,http://175.155.98.11:9901/tsfile/live/1034_1.m3u8
贵州卫视,http://175.155.98.11:9901/tsfile/live/1035_1.m3u8
宁夏卫视,http://175.155.98.11:9901/tsfile/live/1036_1.m3u8
青海卫视,http://175.155.98.11:9901/tsfile/live/1037_1.m3u8
新疆卫视,http://175.155.98.11:9901/tsfile/live/1038_1.m3u8
海南卫视,http://175.155.98.11:9901/tsfile/live/1001_1.m3u8
金鹰卡通,http://175.155.98.11:9901/tsfile/live/1039_1.m3u8
甘肃卫视,http://175.155.98.11:9901/tsfile/live/1040_1.m3u8
西藏卫视,http://175.155.98.11:9901/tsfile/live/1041_1.m3u8
金鹰卡通,http://175.155.98.11:9901/tsfile/live/1042_1.m3u8
卡酷少儿,http://175.155.98.11:9901/tsfile/live/1043_1.m3u8
SCTV影视文艺,http://175.155.98.11:9901/tsfile/live/1005_1.m3u8
SCTV新闻,http://175.155.98.11:9901/tsfile/live/1044_1.m3u8
SCTV妇女儿童,http://175.155.98.11:9901/tsfile/live/1045_1.m3u8
SCTV科教,http://175.155.98.11:9901/tsfile/live/1046_1.m3u8
SCTV公共乡村,http://175.155.98.11:9901/tsfile/live/1047_1.m3u8
SCTV康巴卫视,http://175.155.98.11:9901/tsfile/live/1010_1.m3u8
SCTV峨眉电影,http://175.155.98.11:9901/tsfile/live/1048_1.m3u8
SCTV国际,http://175.155.98.11:9901/tsfile/live/1049_1.m3u8
中国联通-陕西-酒店,#genre#
CCTV1,http://183.185.254.246:9999/tsfile/live/0001_1.m3u8
CCTV2,http://183.185.254.246:9999/tsfile/live/0002_1.m3u8
