中国联通-黑龙江-组播,#genre#
宁夏卫视,http://175.172.204.27:8888/udp/232.0.0.34:1234
吉林卫视,http://175.172.204.27:8888/udp/232.0.0.180:1234
新疆卫视,http://175.172.204.27:8888/udp/232.0.0.18:1234
甘肃卫视,http://175.172.204.27:8888/udp/232.0.0.50:1234
西藏卫视,http://175.172.204.27:8888/udp/232.0.0.114:1234
黑龙江卫视,http://175.172.204.27:8888/udp/232.0.0.95:1234
深圳卫视,http://175.172.204.27:8888/udp/232.0.0.110:1234
厦门卫视,http://175.172.204.27:8888/udp/232.0.0.160:1234
中国教育1,http://175.172.204.27:8888/udp/232.0.0.212:1234
CETV2,http://175.172.204.27:8888/udp/232.0.0.238:1234
CETV4,http://175.172.204.27:8888/udp/232.0.0.239:1234
山东教育卫视,http://175.172.204.27:8888/udp/232.0.0.169:1234
兵团卫视,http://175.172.204.27:8888/udp/232.0.0.67:1234
延边卫视,http://175.172.204.27:8888/udp/232.0.0.161:1234
金鹰卡通,http://175.172.204.27:8888/udp/232.0.0.90:1234
炫动卡通,http://175.172.204.27:8888/udp/232.0.0.103:1234
优漫卡通,http://175.172.204.27:8888/udp/232.0.0.159:1234
嘉佳卡通,http://175.172.204.27:8888/udp/232.0.0.157:1234
卡酷少儿,http://175.172.204.27:8888/udp/232.0.0.57:1234
金鹰纪实,http://175.172.204.27:8888/udp/232.0.0.163:1234
北京冬奥纪实,http://175.172.204.27:8888/udp/232.0.0.162:1234
上海纪实,http://175.172.204.27:8888/udp/232.0.0.132:1234
CCTV-4欧洲,http://175.172.204.27:8888/udp/232.0.0.53:1234
CCTV-4美洲,http://175.172.204.27:8888/udp/232.0.0.59:1234
西藏卫视（藏语）,http://175.172.204.27:8888/udp/232.0.0.104:1234
安多藏语综合,http://175.172.204.27:8888/udp/232.0.0.105:1234
康巴藏语综合,http://175.172.204.27:8888/udp/232.0.0.109:1234
电视指南,http://175.172.204.27:8888/udp/232.0.0.91:1234
证券服务,http://175.172.204.27:8888/udp/232.0.0.152:1234
新动漫,http://175.172.204.27:8888/udp/232.0.0.65:1234
家庭理财,http://175.172.204.27:8888/udp/232.0.0.19:1234
网络棋牌,http://175.172.204.27:8888/udp/232.0.0.64:1234
第一剧场,http://175.172.204.27:8888/udp/232.0.0.29:1234
怀旧剧场,http://175.172.204.27:8888/udp/232.0.0.38:1234
风云剧场,http://175.172.204.27:8888/udp/232.0.0.45:1234
风云足球,http://175.172.204.27:8888/udp/232.0.0.52:1234
风云音乐,http://175.172.204.27:8888/udp/232.0.0.47:1234
央视台球,http://175.172.204.27:8888/udp/232.0.0.60:1234
央视文化精品,http://175.172.204.27:8888/udp/232.0.0.56:1234
世界地理,http://175.172.204.27:8888/udp/232.0.0.63:1234
兵器科技,http://175.172.204.27:8888/udp/232.0.0.58:1234
女性时尚,http://175.172.204.27:8888/udp/232.0.0.51:1234
游戏竞技,http://175.172.204.27:8888/udp/232.0.0.112:1234
电子体育,http://175.172.204.27:8888/udp/232.0.0.24:1234
4K欢笑剧场,http://175.172.204.27:8888/udp/232.0.0.98:1234
生活时尚,http://175.172.204.27:8888/udp/232.0.0.107:1234
乐游,http://175.172.204.27:8888/udp/232.0.0.108:1234
游戏风云,http://175.172.204.27:8888/udp/232.0.0.127:1234
动漫秀场,http://175.172.204.27:8888/udp/232.0.0.128:1234
金色学堂,http://175.172.204.27:8888/udp/232.0.0.133:1234
法治天地,http://175.172.204.27:8888/udp/232.0.0.134:1234
都市剧场,http://175.172.204.27:8888/udp/232.0.0.149:1234
精选,http://175.172.204.27:8888/udp/232.0.0.102:1234
IPTV足球,http://175.172.204.27:8888/udp/232.0.0.213:1234
爱生活,http://175.172.204.27:8888/udp/232.0.0.148:1234
IPTV3(轮播),http://175.172.204.27:8888/udp/232.0.0.118:1234
IPTV5(轮播),http://175.172.204.27:8888/udp/232.0.0.119:1234
爱上4K,http://175.172.204.27:8888/udp/232.0.0.187:1234
谍战剧场,http://175.172.204.27:8888/udp/232.0.0.203:1234
地理,http://175.172.204.27:8888/udp/232.0.0.197:1234
怀旧电影,http://175.172.204.27:8888/udp/232.0.0.48:1234
劲爆电影,http://175.172.204.27:8888/udp/232.0.0.155:1234
党员教育,http://175.172.204.27:8888/udp/232.0.0.129:1234
抚顺综合,http://175.172.204.27:8888/udp/232.0.0.143:1234
抚顺教育,http://175.172.204.27:8888/udp/232.0.0.145:1234
大洼综合,http://175.172.204.27:8888/udp/232.0.0.146:1234
盘锦新闻,http://175.172.204.27:8888/udp/232.0.0.148:1234
辽河新闻综合,http://175.172.204.27:8888/udp/232.0.0.214:1234
辽河文化生活,http://175.172.204.27:8888/udp/232.0.0.215:1234

中国联通-青海-组播,#genre#
青海卫视HD,http://139.170.104.157:8000/udp/239.120.1.113:8346
青海经视HD,http://139.170.104.157:8000/udp/239.120.2.161:5141
青海都市HD,http://139.170.104.157:8000/udp/239.120.2.156:5141
青海都市,http://139.170.104.157:8000/udp/239.120.1.41:8220
青海经视,http://139.170.104.157:8000/udp/239.120.1.42:8226
CCTV1HD,http://139.170.104.157:8000/udp/239.120.2.220:5141
CCTV2HD,http://139.170.104.157:8000/udp/239.120.2.43:5141
CCTV3HD,http://139.170.104.157:8000/udp/239.120.2.32:5141
CCTV4,http://139.170.104.157:8000/udp/239.120.1.159:9012
CCTV5+,http://139.170.104.157:8000/udp/239.120.1.245:9428
CCTV5HD,http://139.170.104.157:8000/udp/239.120.2.34:5141
CCTV6HD,http://139.170.104.157:8000/udp/239.120.2.38:5141
CCTV7HD,http://139.170.104.157:8000/udp/239.120.2.39:5141
CCTV8HD,http://139.170.104.157:8000/udp/239.120.2.40:5141
CCTV9HD,http://139.170.104.157:8000/udp/239.120.2.91:5141
CCTV10,http://139.170.104.157:8000/udp/239.120.1.250:9448
CCTV11,http://139.170.104.157:8000/udp/239.120.1.163:9036
CCTV12HD,http://139.170.104.157:8000/udp/239.120.2.101:5141
CCTV13,http://139.170.104.157:8000/udp/239.120.1.165:9048
CCTV14HD,http://139.170.104.157:8000/udp/239.120.2.103:5141
CCTV15,http://139.170.104.157:8000/udp/239.120.1.167:9060
CCTVNEWS,http://139.170.104.157:8000/udp/239.120.1.161:9024
CETV2,http://139.170.104.157:8000/udp/239.120.2.68:5141
CETV4,http://139.170.104.157:8000/udp/239.120.2.71:5141
安多卫视,http://139.170.104.157:8000/udp/239.120.1.40:8214
安徽卫视,http://139.170.104.157:8000/udp/239.120.1.226:9348
北京卫视HD,http://139.170.104.157:8000/udp/239.120.2.186:5141
兵团卫视,http://139.170.104.157:8000/udp/239.120.2.35:5141
第一财经,http://139.170.104.157:8000/udp/239.120.1.73:8412
东方财经,http://139.170.104.157:8000/udp/239.120.1.55:8304
东方卫视HD,http://139.170.104.157:8000/udp/239.120.2.184:5141
东南卫视,http://139.170.104.157:8000/udp/239.120.1.232:9372
动漫秀场,http://139.170.104.157:8000/udp/239.120.1.219:9328
都市剧场,http://139.170.104.157:8000/udp/239.120.1.221:9336
法治天地,http://139.170.104.157:8000/udp/239.120.2.76:5141
甘肃卫视,http://139.170.104.157:8000/udp/239.120.1.118:8700
广东卫视HD,http://139.170.104.157:8000/udp/239.120.2.181:5141
广西卫视,http://139.170.104.157:8000/udp/239.120.1.155:8988
贵州卫视,http://139.170.104.157:8000/udp/239.120.1.142:8910
海南州,http://139.170.104.157:8000/udp/239.120.1.247:9436
河北卫视,http://139.170.104.157:8000/udp/239.120.1.212:9300
河南卫视,http://139.170.104.157:8000/udp/239.120.1.148:8946
黑龙江卫视HD,http://139.170.104.157:8000/udp/239.120.2.183:5141
湖北卫视HD,http://139.170.104.157:8000/udp/239.120.2.182:5141
湖南卫视HD,http://139.170.104.157:8000/udp/239.120.2.173:5141
欢笑剧场,http://139.170.104.157:8000/udp/239.120.1.216:9316
吉林卫视,http://139.170.104.157:8000/udp/239.120.1.151:8964
家庭理财,http://139.170.104.157:8000/udp/239.120.2.153:5141
嘉佳卡通,http://139.170.104.157:8000/udp/239.120.2.45:5141
江苏卫视HD,http://139.170.104.157:8000/udp/239.120.2.221:5141
江西卫视HD,http://139.170.104.157:8000/udp/239.120.2.194:5141
金鹰卡通,http://139.170.104.157:8000/udp/239.120.2.60:5141
卡酷少儿,http://139.170.104.157:8000/udp/239.120.2.62:5141
乐游,http://139.170.104.157:8000/udp/239.120.1.217:9320
辽宁卫视HD,http://139.170.104.157:8000/udp/239.120.2.189:5141
旅游卫视,http://139.170.104.157:8000/udp/239.120.1.141:8904
内蒙古卫视,http://139.170.104.157:8000/udp/239.120.2.44:5141
宁夏卫视,http://139.170.104.157:8000/udp/239.120.2.25:5141
七彩戏剧,http://139.170.104.157:8000/udp/239.120.1.57:8316
山东卫视HD,http://139.170.104.157:8000/udp/239.120.2.219:5141
山西卫视,http://139.170.104.157:8000/udp/239.120.2.22:5141
陕西卫视,http://139.170.104.157:8000/udp/239.120.2.20:5141
